iter	Passed	Remaining
1019	17125	235
1020	17143	218
1021	17161	201
1022	17181	184
1023	17201	167
1024	17218	151
1025	17236	134
1026	17253	117
1027	17270	100
1028	17287	84
1029	17304	67
1030	17321	50
1031	17337	33
1032	17355	16
1033	17374	0
